method,url_template,classification,verification,query_keys,parameter_expression,source,line,column
GET,/jdy-fi/{dbId}/gl/v1/period-end/trans-product-cost/setting,read_candidate,not_probed,,e,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/3.e78dde9a.chunk.js,1,5619
GET,/jdy-fi/{dbId}/gl/v1/period-end/trans-product-cost/sys-param,read_candidate,not_probed,,,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/3.e78dde9a.chunk.js,1,5816
GET,/jdy-fi/{dbId}/gl/v1/period-end/trans-sale-cost,read_candidate,not_probed,,e,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/3.e78dde9a.chunk.js,1,2708
GET,/jdy-fi/{dbId}/gl/v1/period-end/trans-sale-cost/carry-data,read_candidate,not_probed,,e,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/3.e78dde9a.chunk.js,1,5324
GET,/jdy-fi/{dbId}/gl/v1/period-end/trans-sale-cost/sys-param,read_candidate,not_probed,,,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/3.e78dde9a.chunk.js,1,2977
GET,/jdy-fi/{dbId}/gl/v1/period-end/trans-sale-cost/trans-param,read_candidate,not_probed,,,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/3.e78dde9a.chunk.js,1,7539
GET,/jdy-fi/{dbId}/gl/v1/period-end/write-off,read_candidate,not_probed,,e,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/3.e78dde9a.chunk.js,1,5427
GET,/jdy-fi/{dbId}/gl/v1/recent-vouchers,read_candidate,verified_business_success,,e,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/main.606e9379.chunk.js,1,304743
GET,/jdy-fi/{dbId}/gl/v1/voucher-period,read_candidate,not_probed,,e,https://vip4-kj.kdzwy.com/home/static/js/app.0833bc2f.js,1,1190781
GET,/jdy-fi/{dbId}/gl/v1/voucher/analysis-vch,read_candidate,not_probed,,e,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/27.e640e1d4.chunk.js,1,15493
GET,/jdy-fi/{dbId}/gl/v1/voucher/arrange-ok,read_candidate,not_probed,,e,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/27.e640e1d4.chunk.js,1,15579
GET,/jdy-fi/{dbId}/gl/v1/voucher/check-vch,read_candidate,not_probed,,e,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/27.e640e1d4.chunk.js,1,15325
GET,/jdy-fi/{dbId}/gl/v1/voucher/find-last-page,read_candidate,not_probed,,e,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/main.606e9379.chunk.js,1,264716
GET,/jdy-fi/{dbId}/gl/v1/voucher/find-to-page,read_candidate,not_probed,,e,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/main.606e9379.chunk.js,1,264804
GET,/jdy-fi/{dbId}/gl/v1/voucher/find-vchId,read_candidate,not_probed,,e,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/main.606e9379.chunk.js,1,263762
GET,/jdy-fi/{dbId}/gl/v1/voucher/list,read_candidate,verified_business_success,,e,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/27.e640e1d4.chunk.js,1,14822
GET,/jdy-fi/{dbId}/gl/v1/voucher/list-snap-shot,read_candidate,not_probed,,e,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/main.606e9379.chunk.js,1,264447
GET,/jdy-fi/{dbId}/gl/v1/voucher/reverse-voucher/{e.voucherId},read_candidate,not_probed,,{},https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/main.606e9379.chunk.js,1,263955
GET,/jdy-fi/{dbId}/gl/v1/voucher/simple-list,read_candidate,not_probed,,e,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/main.606e9379.chunk.js,1,1192019
GET,/jdy-fi/{dbId}/gl/v1/voucher/snap/{e.id},read_candidate,not_probed,,{},https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/main.606e9379.chunk.js,1,264536
GET,/jdy-fi/{dbId}/gl/v1/voucher/{e.vchId},read_candidate,not_probed,,,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/main.606e9379.chunk.js,1,261895
GET,/jdy-fi/{dbId}/gl/v1/voucherTotal/list,read_candidate,verified_business_success,,n,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/61.20412f05.chunk.js,1,15812
GET,/jdy-fi/{dbId}/gl/v1/voucherTpl/{e.id},read_candidate,not_probed,,,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/main.606e9379.chunk.js,1,262826
